url,people,rate,type
https://leetcode.cn/problems/degree-of-an-array,1199,0.592,easy
https://leetcode.cn/problems/search-in-a-binary-search-tree,2012,0.779,easy
https://leetcode.cn/problems/kth-largest-element-in-a-stream,845,0.526,easy
https://leetcode.cn/problems/binary-search,5446,0.55,easy
https://leetcode.cn/problems/design-hashset,643,0.635,easy
https://leetcode.cn/problems/design-hashmap,619,0.637,easy
https://leetcode.cn/problems/to-lower-case,988,0.765,easy
https://leetcode.cn/problems/1-bit-and-2-bit-characters,855,0.553,easy
https://leetcode.cn/problems/find-pivot-index,1713,0.525,easy
https://leetcode.cn/problems/self-dividing-numbers,788,0.764,easy
https://leetcode.cn/problems/flood-fill,1325,0.589,easy
https://leetcode.cn/problems/sentence-similarity,94,0.482,easy
https://leetcode.cn/problems/find-smallest-letter-greater-than-target,1035,0.489,easy
https://leetcode.cn/problems/min-cost-climbing-stairs,2716,0.661,easy
https://leetcode.cn/problems/largest-number-at-least-twice-of-others,979,0.466,easy
https://leetcode.cn/problems/shortest-completing-word,589,0.665,easy
https://leetcode.cn/problems/find-anagram-mappings,140,0.846,easy
https://leetcode.cn/problems/prime-number-of-set-bits-in-binary-representation,506,0.753,easy
https://leetcode.cn/problems/toeplitz-matrix,792,0.7,easy
https://leetcode.cn/problems/jewels-and-stones,1610,0.856,easy
https://leetcode.cn/problems/minimum-distance-between-bst-nodes,856,0.602,easy
https://leetcode.cn/problems/rotate-string,941,0.635,easy
https://leetcode.cn/problems/similar-rgb-color,58,0.702,easy
https://leetcode.cn/problems/unique-morse-code-words,866,0.821,easy
https://leetcode.cn/problems/number-of-lines-to-write-string,662,0.686,easy
https://leetcode.cn/problems/largest-triangle-area,335,0.681,easy
https://leetcode.cn/problems/most-common-word,762,0.456,easy
https://leetcode.cn/problems/shortest-distance-to-a-character,1039,0.728,easy
https://leetcode.cn/problems/goat-latin,765,0.652,easy
https://leetcode.cn/problems/positions-of-large-groups,726,0.542,easy
https://leetcode.cn/problems/flipping-an-image,1170,0.794,easy
https://leetcode.cn/problems/rectangle-overlap,790,0.492,easy
https://leetcode.cn/problems/backspace-string-compare,2073,0.478,easy
https://leetcode.cn/problems/buddy-strings,924,0.347,easy
https://leetcode.cn/problems/lemonade-change,1584,0.59,easy
https://leetcode.cn/problems/transpose-matrix,904,0.669,easy
https://leetcode.cn/problems/binary-gap,714,0.695,easy
https://leetcode.cn/problems/leaf-similar-trees,969,0.652,easy
https://leetcode.cn/problems/middle-of-the-linked-list,3734,0.706,easy
https://leetcode.cn/problems/projection-area-of-3d-shapes,577,0.765,easy
https://leetcode.cn/problems/uncommon-words-from-two-sentences,678,0.712,easy
https://leetcode.cn/problems/fair-candy-swap,634,0.634,easy
https://leetcode.cn/problems/surface-area-of-3d-shapes,786,0.647,easy
https://leetcode.cn/problems/monotonic-array,1071,0.568,easy
https://leetcode.cn/problems/increasing-order-search-tree,926,0.738,easy
https://leetcode.cn/problems/sort-array-by-parity,1509,0.71,easy
https://leetcode.cn/problems/smallest-range-i,596,0.744,easy
https://leetcode.cn/problems/x-of-a-kind-in-a-deck-of-cards,764,0.372,easy
https://leetcode.cn/problems/reverse-only-letters,1117,0.593,easy
https://leetcode.cn/problems/sort-array-by-parity-ii,1104,0.713,easy
https://leetcode.cn/problems/long-pressed-name,852,0.373,easy
